ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,168.32,-2.8,1093997,676320.0,1.62,170.54,170.345,164.411,44.8,2.946,1.58,182.26,140.78,176.64,165.36,,4.0,,,True,0,EMA9 > EMA20 > Prix > EMA200,0,163.9,175.69,2026-09-09
AIR.PA,Airbus,Aéronautique,196.34,-2.17,959150,720465.0,1.33,199.444,202.157,190.543,39.0,4.533,2.0,221.3,157.42,216.55,193.18,,,,5.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,189.54,207.67,2026-09-09
ALO.PA,Alstom,Industrie,15.85,-2.88,1405054,1024843.0,1.37,16.155,16.177,18.969,45.2,0.457,2.76,30.23,14.72,17.06,15.54,baissier,0.0,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-8,15.16,16.99,2026-09-09
MT.AS,ArcelorMittal,Matériaux,66.42,-0.69,1399997,1403256.0,1.0,65.423,64.174,52.093,63.8,2.107,3.34,68.56,28.84,68.56,59.34,,,,2.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,63.26,71.69,2026-09-09
CS.PA,AXA,Assurance,42.94,-1.65,3165376,2392485.0,1.32,43.666,43.878,41.718,41.6,0.743,1.65,45.66,36.55,45.05,42.43,,,,8.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,41.83,44.8,2026-09-09
BNP.PA,BNP Paribas,Banque,102.76,-1.08,2433818,1682635.0,1.45,103.862,105.149,94.237,41.0,2.143,2.02,113.82,65.12,113.82,99.93,,,,8.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,99.55,108.12,2026-09-09
EN.PA,Bouygues,BTP/Télécom,44.15,-2.11,844545,647967.0,1.3,44.652,45.445,46.694,36.3,0.878,1.91,53.48,36.72,48.01,43.39,,,,8.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,42.83,46.34,2026-09-09
CAP.PA,Capgemini,Technologie,101.15,-4.17,713033,429345.0,1.66,106.065,106.337,109.575,42.1,3.667,3.09,153.05,85.62,111.65,100.35,baissier,0.0,baissière,0.0,True,-7,EMA200 > EMA20 > EMA9 > Prix,-13,95.65,110.32,2026-09-09
CA.PA,Carrefour,Distribution,16.42,-1.44,1754971,1559621.0,1.13,16.227,16.071,15.542,58.6,0.27,1.54,17.53,11.94,16.69,15.52,,4.0,,1.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,16.01,17.09,2026-09-09
ACA.PA,Crédit Agricole,Banque,18.49,-0.99,3938210,4180148.0,0.94,18.704,18.853,17.614,41.5,0.304,1.44,20.4,15.37,20.4,18.18,,8.0,,8.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,18.03,19.25,2026-09-09
BN.PA,Danone,Agroalimentaire,62.96,-3.02,1197212,1013392.0,1.18,64.263,65.303,68.838,33.3,1.11,1.35,80.14,60.64,68.4,62.96,,,baissière,0.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-8,61.3,65.73,2026-09-09
DSY.PA,Dassault Systèmes,Technologie,20.17,-1.42,1689571,1648248.0,1.03,21.496,21.653,21.346,37.4,0.67,2.73,30.36,15.82,23.18,20.17,baissier,0.0,baissière,0.0,False,0,EMA20 > EMA9 > EMA200 > Prix,-2,19.16,21.85,2026-09-09
EDEN.PA,Edenred,Services,28.59,-0.07,734042,468806.0,1.57,29.496,29.25,23.869,47.2,0.756,2.19,30.85,15.23,30.85,27.61,,,,8.0,True,0,EMA9 > EMA20 > Prix > EMA200,0,27.46,30.48,2026-09-09
ENGI.PA,Engie,Énergie,24.05,-0.29,4537178,3219473.0,1.41,24.276,24.834,25.267,34.2,0.546,2.15,29.89,17.78,26.52,23.4,,,,3.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,23.23,25.42,2026-09-09
EL.PA,EssilorLuxottica,Santé/Optique,149.0,-0.4,1121237,641019.0,1.75,154.221,158.307,197.946,28.6,4.483,2.41,323.8,146.4,171.1,146.4,,,,2.0,True,-7,EMA200 > EMA20 > EMA9 > Prix,-8,142.28,160.21,2026-09-09
ERF.PA,Eurofins Scientific,Santé,70.94,-0.37,413214,222254.0,1.86,72.032,71.66,65.786,48.3,1.619,2.23,74.78,54.86,74.78,68.38,,,,,True,0,EMA9 > EMA20 > Prix > EMA200,0,68.51,74.99,2026-09-09
RMS.PA,Hermès,Luxe,1409.0,-2.32,109790,120557.0,0.91,1490.167,1531.507,1767.346,29.0,41.039,2.39,2300.0,1405.5,1630.5,1405.5,,,baissière,0.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-9,1347.44,1511.6,2026-09-09
KER.PA,Kering,Luxe,232.25,-4.97,405559,286852.0,1.41,245.511,252.151,258.476,32.4,8.451,2.87,354.2,225.1,281.95,231.0,,,baissière,0.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-8,219.57,253.38,2026-09-09
OR.PA,L'Oréal,Cosmétiques,381.7,-1.67,401252,284933.0,1.41,383.893,383.957,376.32,48.2,7.998,1.75,405.8,338.85,394.0,367.5,baissier,0.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,1,369.7,401.69,2026-09-09
LR.PA,Legrand,Industrie,140.35,-3.97,481250,432830.0,1.11,139.196,138.132,138.197,53.7,4.089,2.42,166.95,121.95,146.3,131.6,,2.0,,1.0,False,0,Prix > EMA9 > EMA200 > EMA20,0,134.22,150.57,2026-09-09
MC.PA,LVMH,Luxe,411.25,-3.59,1029072,455752.0,2.26,433.789,445.733,497.63,27.8,11.147,2.17,654.7,408.75,476.15,408.75,,,baissière,0.0,True,-7,EMA200 > EMA20 > EMA9 > Prix,-11,394.53,439.12,2026-09-09
ML.PA,Michelin,Industrie,33.76,-2.6,1782483,1270996.0,1.4,34.58,34.615,32.6,41.6,0.673,1.68,35.72,25.51,35.35,33.54,baissier,0.0,baissière,0.0,False,2,EMA20 > EMA9 > Prix > EMA200,0,32.75,35.44,2026-09-09
